node,nodeID,root node,root node ID,biodomain
mitochondrial genome maintenance,GO:0000002,biological_process,GO:0008150,"Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, DNA Repair"
"alpha-1,6-mannosyltransferase activity",GO:0000009,molecular_function,GO:0003674,"Mitochondrial Metabolism, Immune Response, Synapse, Proteostasis, Structural Stabilization"
single strand break repair,GO:0000012,biological_process,GO:0008150,"DNA Repair, Apoptosis, Oxidative Stress, Autophagy, Immune Response"
single-stranded DNA endodeoxyribonuclease activity,GO:0000014,molecular_function,GO:0003674,"DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Immune Response"
phosphopyruvate hydratase complex,GO:0000015,cellular_component,GO:0005575,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy"
lactase activity,GO:0000016,molecular_function,GO:0003674,"Mitochondrial Metabolism, Immune Response, Synapse, Structural Stabilization, Proteostasis"
alpha-glucoside transport,GO:0000017,biological_process,GO:0008150,"Mitochondrial Metabolism, Immune Response, Synapse, Structural Stabilization, Proteostasis"
regulation of DNA recombination,GO:0000018,biological_process,GO:0008150,"DNA Repair, Epigenetic, Autophagy, Immune Response, Proteostasis"
regulation of mitotic recombination,GO:0000019,biological_process,GO:0008150,"Cell Cycle, DNA Repair, Apoptosis, Immune Response, Proteostasis"
mitotic spindle elongation,GO:0000022,biological_process,GO:0008150,"Cell Cycle, Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress"
maltose metabolic process,GO:0000023,biological_process,GO:0008150,"Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress"
maltose catabolic process,GO:0000025,biological_process,GO:0008150,"Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis"
"alpha-1,2-mannosyltransferase activity",GO:0000026,molecular_function,GO:0003674,"Mitochondrial Metabolism, Immune Response, Synapse, Structural Stabilization, Proteostasis"
ribosomal large subunit assembly,GO:0000027,biological_process,GO:0008150,"Immune Response, Synapse, Mitochondrial Metabolism, Structural Stabilization, Proteostasis"
