Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Apoptosis
GO Term: Single Strand Break Repair -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Phosphopyruvate Hydratase Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Lactase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Alpha-Glucoside Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Regulation Of Dna Recombination -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, RNA Spliceosome
GO Term: Maltose Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Maltose Catabolic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, Epigenetic
GO Term: Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Ribosomal Large Subunit Assembly -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Ribosomal Small Subunit Assembly -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Acyl Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Acyl Carrier Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Autophagosome Assembly -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Peptidyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Trna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Urea Cycle -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Citrulline Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Argininosuccinate Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Ribosomal Subunit Export From Nucleus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Ribosomal Large Subunit Export From Nucleus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Ribosomal Small Subunit Export From Nucleus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Synapse
GO Term: Dna Replication Checkpoint Signaling -> Biodomain: DNA Repair, Epigenetic, Synapse, Proteostasis, Apoptosis
GO Term: Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, RNA Spliceosome
GO Term: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Synapse, RNA Spliceosome
GO Term: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Sulfur Amino Acid Metabolic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, Epigenetic
GO Term: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, Epigenetic
GO Term: Sulfur Amino Acid Catabolic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Sulfur Amino Acid Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Sulfate Assimilation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: L-Histidine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Synapse
GO Term: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Apoptosis
GO Term: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Synapse
GO Term: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Apoptosis
GO Term: Histone Deacetylase Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Apoptosis
GO Term: Rna Polymerase I Transcription Regulator Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Epigenetic
GO Term: Glycerol-1-Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Apoptosis
GO Term: Saga Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Transcription Factor Tfiiib Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Transcription Factor Tfiiic Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, RNA Spliceosome
GO Term: Golgi Cis Cisterna -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Golgi Trans Cisterna -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Apoptosis
GO Term: Golgi Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
