Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Single Strand Break Repair -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Phosphopyruvate Hydratase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Lactase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Alpha-Glucoside Transport -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Dna Recombination -> Biodomain: DNA Repair, Epigenetic, Autophagy, Immune Response, Oxidative Stress
GO Term: Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Apoptosis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Synapse
GO Term: Maltose Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Maltose Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Alpha-1,2-Mannosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Ribosomal Large Subunit Assembly -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Ribosomal Small Subunit Assembly -> Biodomain: Proteostasis, Synapse, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Mannosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Acyl Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Acyl Carrier Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Peptidyltransferase Activity -> Biodomain: Proteostasis, Synapse, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Trna Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Urea Cycle -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Metal Binding and Homeostasis
GO Term: Citrulline Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Argininosuccinate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Ribosomal Subunit Export From Nucleus -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Ribosomal Large Subunit Export From Nucleus -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Ribosomal Small Subunit Export From Nucleus -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Immune Response
GO Term: Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Oxidative Stress, Immune Response
GO Term: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Autophagy, Proteostasis
GO Term: Sulfur Amino Acid Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Sulfur Amino Acid Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Sulfur Amino Acid Transport -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Sulfate Assimilation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Metal Binding and Homeostasis
GO Term: L-Histidine Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Histone Deacetylase Complex -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Rna Polymerase I Transcription Regulator Complex -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Immune Response, APP Metabolism
GO Term: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, Oxidative Stress, Autophagy
