Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Alpha-1,6-Mannosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Single Strand Break Repair -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Phosphopyruvate Hydratase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Lactase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Alpha-Glucoside Transport -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Regulation Of Dna Recombination -> Biodomain: DNA Repair, Epigenetic, Immune Response, Oxidative Stress, Proteostasis
GO Term: Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Apoptosis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Maltose Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Maltose Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Ribosomal Large Subunit Assembly -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Ribosomal Small Subunit Assembly -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Mannosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Tau Homeostasis
GO Term: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Acyl Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Acyl Carrier Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Peptidyltransferase Activity -> Biodomain: Proteostasis, Synapse, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Trna Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Urea Cycle -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, APP Metabolism, Immune Response
GO Term: Citrulline Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Argininosuccinate Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Ribosomal Subunit Export From Nucleus -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Ribosomal Large Subunit Export From Nucleus -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Ribosomal Small Subunit Export From Nucleus -> Biodomain: Proteostasis, Synapse, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Immune Response, Oxidative Stress
GO Term: Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Oxidative Stress, Immune Response
GO Term: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Sulfur Amino Acid Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Sulfur Amino Acid Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Sulfur Amino Acid Transport -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Sulfate Assimilation -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: L-Histidine Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Histone Deacetylase Complex -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Rna Polymerase I Transcription Regulator Complex -> Biodomain: Proteostasis, RNA Spliceosome, Apoptosis, Immune Response, Oxidative Stress
GO Term: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Proteostasis, Synapse, Immune Response, APP Metabolism, Tau Homeostasis
GO Term: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Saga Complex -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Transcription Factor Tfiiib Complex -> Biodomain: Transcription Factor Tfiiib Complex, Proteostasis, RNA Spliceosome, Immune Response, Apoptosis
GO Term: Transcription Factor Tfiiic Complex -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis, Immune Response
GO Term: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Golgi Cis Cisterna -> Biodomain: Proteostasis, APP Metabolism, Synapse, Autophagy, Oxidative Stress
GO Term: Golgi Trans Cisterna -> Biodomain: Proteostasis, APP Metabolism, Synapse, Oxidative Stress, Autophagy
GO Term: Golgi Membrane -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Exocyst -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Microfilament Motor Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Snare Binding -> Biodomain: Synapse, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Autophagy, Immune Response
GO Term: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Rrna Modification -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Protein Phosphatase Type 1 Complex -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Mapk Cascade -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Nucleotide Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, Autophagy, RNA Spliceosome, Proteostasis, Oxidative Stress
GO Term: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Exosome (Rnase Complex) -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Rdna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Rdna Heterochromatin Formation -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Nad+ Diphosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
