Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown, Proteostasis
GO Term: Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Unknown, APP Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Single Strand Break Repair -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Immune Response
GO Term: Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: Unknown, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Phosphopyruvate Hydratase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Lactase Activity -> Biodomain: Unknown, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Alpha-Glucoside Transport -> Biodomain: Unknown, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Dna Recombination -> Biodomain: DNA Repair, Unknown, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Mitotic Recombination -> Biodomain: Unknown, DNA Repair, Apoptosis, Immune Response, Oxidative Stress
GO Term: Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Maltose Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Maltose Catabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Unknown, Oxidative Stress, Autophagy
GO Term: Ribosomal Large Subunit Assembly -> Biodomain: Unknown, Proteostasis, Apoptosis, Tau Homeostasis, Synapse
GO Term: Ribosomal Small Subunit Assembly -> Biodomain: Unknown, Proteostasis, Apoptosis, Tau Homeostasis, Synapse
GO Term: Mannosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Unknown
GO Term: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Unknown, Oxidative Stress, Autophagy
GO Term: Acyl Binding -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Acyl Carrier Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown, APP Metabolism
GO Term: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Peptidyltransferase Activity -> Biodomain: Unknown, Proteostasis, Autophagy, RNA Spliceosome, APP Metabolism
GO Term: Trna Binding -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Urea Cycle -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Citrulline Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Argininosuccinate Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Ribosomal Subunit Export From Nucleus -> Biodomain: Unknown, Proteostasis, Synapse, Apoptosis, Tau Homeostasis
GO Term: Ribosomal Large Subunit Export From Nucleus -> Biodomain: Unknown, Proteostasis, Apoptosis, Tau Homeostasis, RNA Spliceosome
GO Term: Ribosomal Small Subunit Export From Nucleus -> Biodomain: Unknown, Proteostasis, Synapse, Apoptosis, Tau Homeostasis
GO Term: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Unknown, Proteostasis, APP Metabolism
GO Term: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Unknown, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Unknown, Apoptosis, Immune Response
GO Term: Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Unknown, Immune Response
GO Term: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Unknown, Tau Homeostasis
GO Term: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Unknown, Proteostasis, Tau Homeostasis
GO Term: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Unknown, Proteostasis, Immune Response
GO Term: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Autophagy, Unknown
GO Term: Sulfur Amino Acid Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Unknown
GO Term: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Unknown, Autophagy
GO Term: Sulfur Amino Acid Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Unknown
GO Term: Sulfur Amino Acid Transport -> Biodomain: Amino Acid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Sulfate Assimilation -> Biodomain: Oxidative Stress, Proteostasis, Unknown, APP Metabolism, Autophagy
GO Term: L-Histidine Biosynthetic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Unknown, Autophagy, Oxidative Stress, Immune Response
GO Term: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Histone Deacetylase Complex -> Biodomain: Epigenetic, Unknown, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Rna Polymerase I Transcription Regulator Complex -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Unknown, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Unknown, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Saga Complex -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Unknown
GO Term: Transcription Factor Tfiiib Complex -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Transcription Factor Tfiiic Complex -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Golgi Cis Cisterna -> Biodomain: Unknown, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Golgi Trans Cisterna -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Unknown, Autophagy
GO Term: Golgi Membrane -> Biodomain: Unknown, Proteostasis, APP Metabolism, Lipid Metabolism, Autophagy
GO Term: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Exocyst -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Microfilament Motor Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Unknown
GO Term: Snare Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Dna Strand Exchange Activity -> Biodomain: Unknown, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Unknown, Immune Response
GO Term: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Unknown, Endolysosome
GO Term: Rrna Modification -> Biodomain: Unknown, RNA Spliceosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Protein Phosphatase Type 1 Complex -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Mapk Cascade -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Nucleotide Binding -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Ribonuclease Mrp Activity -> Biodomain: Unknown, Autophagy, RNA Spliceosome, Proteostasis, Oxidative Stress
GO Term: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Unknown, Proteostasis
GO Term: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, APP Metabolism, Autophagy
GO Term: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, Immune Response
GO Term: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: Unknown, Autophagy, RNA Spliceosome, Proteostasis, Immune Response
GO Term: Exosome (Rnase Complex) -> Biodomain: Unknown, Autophagy, RNA Spliceosome, Proteostasis, Immune Response
GO Term: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Rdna Binding -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Endolysosome
GO Term: Rdna Heterochromatin Formation -> Biodomain: Unknown, Epigenetic, Autophagy, Proteostasis, DNA Repair
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Unknown, Immune Response
GO Term: Nad+ Diphosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Unknown
GO Term: Meiotic Spindle Organization -> Biodomain: Unknown, Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis
