Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Single Strand Break Repair -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: Unknown, DNA Repair, Synapse, Proteostasis, Apoptosis
GO Term: Phosphopyruvate Hydratase Complex -> Biodomain: Unknown, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Lactase Activity -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Alpha-Glucoside Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Dna Recombination -> Biodomain: Unknown, Epigenetic, DNA Repair, Synapse, Proteostasis
GO Term: Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Synapse
GO Term: Maltose Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Maltose Catabolic Process -> Biodomain: Unknown, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Ribosomal Large Subunit Assembly -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Ribosomal Small Subunit Assembly -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome
GO Term: Acyl Binding -> Biodomain: Unknown, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Acyl Carrier Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis, Synapse
GO Term: Autophagosome Assembly -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Peptidyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Trna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Urea Cycle -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Citrulline Metabolic Process -> Biodomain: Unknown, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Argininosuccinate Metabolic Process -> Biodomain: Unknown, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ribosomal Subunit Export From Nucleus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Ribosomal Large Subunit Export From Nucleus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Ribosomal Small Subunit Export From Nucleus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
