Running with TEMP=0.0, sub_array_index=49
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 49: rows 2400 to 2449
GO Term: Gocc Endoplasmic Reticulum Lumen -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gocc Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gocc Endoplasmic Reticulum Golgi Intermediate Compartment -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Golgi Lumen -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Gocc Golgi Medial Cisterna -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Golgi Associated Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Aster -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
GO Term: Gocc Polar Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Proteasome Regulatory Particle -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gocc Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Mrna Cleavage Factor Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process, RNA Metabolism
