Running with TEMP=0.0, sub_array_index=32
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 32: rows 1550 to 1599
GO Term: Gobp Lung Saccule Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Bronchus Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Lung Growth -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Cycle, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Epithelial Tube Branching Involved In Lung Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Mammary Gland Morphogenesis -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Bud Elongation Involved In Lung Branching -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Lung Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Lung Associated Mesenchyme Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Cell Cycle, Signal Transduction
GO Term: Gobp Mesenchyme Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Cycle
GO Term: Gobp Type Ii Pneumocyte Differentiation -> Biodomain: System and Developmental Process, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Prostatic Bud Formation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Trachea Cartilage Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Cartilage Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Diaphragm Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Respiratory System Development -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Necrotic Cell Death -> Biodomain: Apoptosis, Cell Cycle, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Cell Death -> Biodomain: Apoptosis, Cell Cycle, Signal Transduction, Response to Stimulus, Autophagy
GO Term: Gobp Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Response to Stimulus
