Running with TEMP=0.0, sub_array_index=22
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 22: rows 1050 to 1099
GO Term: Gobp Monocyte Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Strand Invasion -> Biodomain: DNA Repair, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Cellular Modified Amino Acid Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Tissue Regeneration -> Biodomain: System and Developmental Process, Cell Cycle, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Dna Protection -> Biodomain: DNA Repair, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Error Prone Translesion Synthesis -> Biodomain: DNA Repair, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Cell Cycle
GO Term: Gobp Purine Nucleoside Metabolic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Vasoconstriction -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Vasodilation -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Phosphorylation -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Taxis -> Biodomain: Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Water Soluble Vitamin Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Thyroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Norepinephrine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, System and Developmental Process
