Running with TEMP=0.0, sub_array_index=37
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 37: rows 1800 to 1849
GO Term: Gobp Mesangial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Nephron Epithelium Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Glomerular Epithelium Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Structural Stabilization, Response to Stimulus
GO Term: Gobp Distal Convoluted Tubule Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Structural Stabilization, Response to Stimulus
GO Term: Gobp Nephron Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Mesenchymal Stem Cell Maintenance Involved In Nephron Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Collecting Duct Development -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Proximal Distal Pattern Formation Involved In Nephron Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Comma Shaped Body Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp S Shaped Body Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Kidney Epithelium Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Nephron Tubule Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Renal Vesicle Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Signal Transduction
GO Term: Gobp Stem Cell Proliferation -> Biodomain: Stem Cell Biology, System and Developmental Process, Cell Cycle, Response to Stimulus, Cell Adhesion and Interaction
