Running with TEMP=0.0, sub_array_index=35
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 35: rows 1700 to 1749
GO Term: Gobp Regulation Of Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Platelet Aggregation -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Histone H3 K36 Demethylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Structural Stabilization, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Negative Regulation Of Neuron Projection Regeneration -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Cadmium Ion Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cell Cell Adhesion Involved In Gastrulation -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Dendrite Self Avoidance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process
GO Term: Gobp Protein Modification By Small Protein Removal -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Modification By Small Protein Conjugation Or Removal -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Mast Cell Proliferation -> Biodomain: Immune System and Inflammation, Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Interleukin 12 -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Histone H3 K27 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Hydrogen Sulfide Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Heterochromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Structural Stabilization, System and Developmental Process
GO Term: Gobp Basement Membrane Assembly -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Caveola Assembly -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Aggresome Assembly -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp Response To Growth Factor -> Biodomain: Signal Transduction, Cell Cycle, System and Developmental Process, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Response To Epidermal Growth Factor -> Biodomain: Signal Transduction, Transcription and Translation Machinery, System and Developmental Process, Cell Cycle, Response to Stimulus
GO Term: Gobp Transcription Preinitiation Complex Assembly -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulatory Ncrna Processing -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Histone H3 Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Histone H4 Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Protein K48 Linked Ubiquitination -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Demethylation -> Biodomain: Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Nadph Oxidation -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Neuron Death -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Rna Surveillance -> Biodomain: RNA Metabolism, Response to Stimulus, Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Nuclear Mrna Surveillance -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Cut Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Polyadenylation Dependent Snorna 3 End Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process
GO Term: Gobp Rna 3 Uridylation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Response To Parathyroid Hormone -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Protein K48 Linked Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Cellular Response To Peptidoglycan -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Cellular Response To Acid Chemical -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Mechanical Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process
GO Term: Gobp Cellular Response To Cadmium Ion -> Biodomain: Response to Stimulus, Signal Transduction, DNA Repair, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Copper Ion -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Iron Ion -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism, Lipid Metabolism, Signal Transduction
GO Term: Gobp Cellular Response To Vitamin -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Retinoic Acid -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Cellular Response To Vitamin D -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Molecular Transport and Homeostasis, Immune System and Inflammation
GO Term: Gobp Cellular Response To Nicotine -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Dsrna -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Gonadotropin Stimulus -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Follicle Stimulating Hormone Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Parathyroid Hormone Stimulus -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Cellular Response To Glucagon Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_35.csv
