Running with TEMP=0.0, sub_array_index=33
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 33: rows 1600 to 1649
GO Term: Gobp Kidney Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Dendritic Spine Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Dendritic Spine Morphogenesis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Dendritic Spine Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Structural Stabilization, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Dendritic Spine Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Structural Stabilization, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process
GO Term: Gobp Pattern Specification Involved In Kidney Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Cell Differentiation Involved In Kidney Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Hepaticobiliary System Development -> Biodomain: System and Developmental Process, Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Cardiac Muscle Tissue Regeneration -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Cycle, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Regulation Of Cartilage Development -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cartilage Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Cartilage Development -> Biodomain: System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Wound Healing -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Vascular Wound Healing -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Structural Stabilization, Signal Transduction
GO Term: Gobp Regulation Of Vascular Wound Healing -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Wound Healing -> Biodomain: System and Developmental Process, Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Somite Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Muscle Structure Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Iris Morphogenesis -> Biodomain: System and Developmental Process, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Histone H3 K27 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Histone H3 K27 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, RNA Metabolism
GO Term: Gobp Neuroendocrine Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Mammary Gland Epithelium Development -> Biodomain: System and Developmental Process, Organ Development, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
