Running with TEMP=0.0, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 700 to 749
GO Term: Gobp Positive Regulation Of Epithelial Cell Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Mammary Gland Development -> Biodomain: System and Developmental Process, Reproductive System, Lactation, Endocrine System, Cell Differentiation
GO Term: Gobp Positive Regulation Of B Cell Proliferation -> Biodomain: Immune System and Inflammation, Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Hindbrain Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Notochord Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Cell Cycle, Response to Stimulus
GO Term: Gobp Paranodal Junction Assembly -> Biodomain: Gliogenesis and Glial Differentiation, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process
GO Term: Gobp Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Astral Microtubule Organization -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Pancreas Development -> Biodomain: System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Endocrine Pancreas Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Actomyosin Structure Organization -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Rna Mediated Heterochromatin Formation -> Biodomain: Epigenetic Regulation, RNA Metabolism, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Pre Mirna Processing -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Histone Modification -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, System and Developmental Process
