Running with TEMP=0.0, sub_array_index=51
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 51: rows 2500 to 2549
GO Term: Gocc Low Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gocc High Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Spherical High Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gocc Triglyceride Rich Plasma Lipoprotein Particle -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Pwp2P Containing Subcomplex Of 90S Preribosome -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gocc Centriolar Satellite -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gocc Endoplasmic Reticulum Chaperone Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Response to Stimulus
GO Term: Gocc Methylosome -> Biodomain: Epigenetic Regulation, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gocc Histone Methyltransferase Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, DNA Repair, Cell Cycle
GO Term: Gocc Prc1 Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, System and Developmental Process, Signal Transduction
GO Term: Gocc Microtubule Plus End -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gocc Azurophil Granule Membrane -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Specific Granule Membrane -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gocc Specific Granule Lumen -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Sperm Fibrous Sheath -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Seh1 Associated Complex -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Transcription Factor Ap 1 Complex -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gocc Endolysosome -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Autophagy, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Endolysosome Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Autophagy, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism
GO Term: Gocc Mks Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gocc Inner Dynein Arm -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gocc Outer Dynein Arm -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gocc Rna N6 Methyladenosine Methyltransferase Complex -> Biodomain: RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Microtubule Minus End -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Growth Factor Complex -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gocc Paraspeckles -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Sarcolemma -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gocc Specific Granule -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gocc Chromaffin Granule Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Response to Stimulus, Lipid Metabolism
GO Term: Gocc Mhc Protein Complex -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Mhc Class Ii Protein Complex -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
