Running with TEMP=0.0, sub_array_index=25
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 25: rows 1200 to 1249
GO Term: Gobp Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, System and Developmental Process, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Mast Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of B Cell Differentiation -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of B Cell Differentiation -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Gamma Delta T Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Regulation Of Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Fat Cell Differentiation -> Biodomain: System and Developmental Process, Lipid Metabolism, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Fat Cell Differentiation -> Biodomain: System and Developmental Process, Lipid Metabolism, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Fat Cell Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Lipid Metabolism, Transcription and Translation Machinery, Cell Cycle
GO Term: Gobp Regulation Of Endothelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Endothelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Epidermal Cell Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Lymphocyte Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of T Helper 1 Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
