Running with TEMP=0.0, sub_array_index=42
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 42: rows 2050 to 2099
GO Term: Gobp Negative Regulation Of Signal Transduction In Absence Of Ligand -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Neuron Death -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Nik Nf Kappab Signaling -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Vasculature Development -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Negative Regulation Of Vasculature Development -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Voltage Gated Calcium Channel Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Voltage Gated Calcium Channel Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Voltage Gated Calcium Channel Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Lymphangiogenesis -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction
GO Term: Gobp Ether Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Endothelial Tube Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Alpha Amino Acid Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Vesicle Transport Along Microtubule -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Structural Stabilization
GO Term: Gobp Organic Hydroxy Compound Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Organic Hydroxy Compound Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Regulation Of Smoothened Signaling Pathway Involved In Dorsal Ventral Neural Tube Patterning -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Negative Regulation Of Smoothened Signaling Pathway Involved In Dorsal Ventral Neural Tube Patterning -> Biodomain: Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Synaptic Vesicle Membrane Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Nucleoside Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Response To Peptide -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Response To Ketone -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Glycoside Transport -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Superoxide Dismutase Activity -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Iron Coordination Entity Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Iron Ion Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Nitrogen Compound -> Biodomain: Response to Stimulus, Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Response To Oxygen Containing Compound -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Cellular Response To Oxygen Containing Compound -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: System and Developmental Process, Cell Cycle, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Negative Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Platelet Aggregation -> Biodomain: System and Developmental Process, Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Muscle Tissue Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Atpase Coupled Calcium Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Negative Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, DNA Repair
GO Term: Gobp Regulation Of Cilium Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Cilium Assembly -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Cycle, Response to Stimulus, Signal Transduction
GO Term: Gobp L Lysine Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Regulation Of Nadp Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
