Running with TEMP=0.0, sub_array_index=27
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 27: rows 1300 to 1349
GO Term: Gobp Filopodium Assembly -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Bone Remodeling -> Biodomain: Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Bone Remodeling -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Bone Remodeling -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Phosphatidylinositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Phosphatidylinositol Dephosphorylation -> Biodomain: Signal Transduction, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Hormone Secretion -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Neurotransmitter Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Nucleoside Monophosphate Phosphorylation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking
