Running with TEMP=0.0, sub_array_index=54
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 54: rows 2650 to 2699
GO Term: Gocc Transferase Complex -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gocc Hfe Transferrin Receptor Complex -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery, Immune System and Inflammation, Response to Stimulus
GO Term: Gocc Microvesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Immune System and Inflammation, Response to Stimulus
GO Term: Gocc Microtubule End -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gocc Beta Catenin Tcf Complex -> Biodomain: Signal Transduction, Transcription and Translation Machinery, System and Developmental Process, Cell Adhesion and Interaction, Cell Cycle
GO Term: Gocc Wnt Signalosome -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gomf Single Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf L Ornithine Transmembrane Transporter Activity -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gomf Endopolyphosphatase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gomf Rna Polymerase Ii Transcription Regulatory Region Sequence Specific Dna Binding -> Biodomain: Transcription and Translation Machinery, DNA Repair, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gomf Rna Polymerase Iii Type 3 Promoter Sequence Specific Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Rna Polymerase Iii Activity -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Tfiib Class Transcription Factor Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Tfiid Class Transcription Factor Complex Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Intronic Transcription Regulatory Region Sequence Specific Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
