Running with TEMP=0.0, sub_array_index=21
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 21: rows 1000 to 1049
GO Term: Gobp Corticosteroid Hormone Secretion -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Mineralocorticoid Secretion -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Corticosterone Secretion -> Biodomain: Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Copi Coated Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Peptidyl Threonine Dephosphorylation -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Aggrephagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Chondrocyte Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Tetrahydrofolate Interconversion -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Direct Ossification -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Replacement Ossification -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Response To Platelet Derived Growth Factor -> Biodomain: Signal Transduction, Cell Cycle, Immune System and Inflammation, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Histone H3 K9 Trimethylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Cell Cycle, DNA Repair, Signal Transduction
GO Term: Gobp Phosphatidylserine Acyl Chain Remodeling -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Outer Dynein Arm Assembly -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Inner Dynein Arm Assembly -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Granulocyte Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Rna Guanine N7 Methylation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cellular Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Macrophage Colony Stimulating Factor Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Ameloblast Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Trail Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Synaptic Vesicle Recycling -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Neuron Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Atf6 Mediated Unfolded Protein Response -> Biodomain: Response to Stimulus, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Paracrine Signaling -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Apolipoprotein A I Mediated Signaling Pathway -> Biodomain: Signal Transduction, Lipid Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Signal Transduction In Absence Of Ligand -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Collagen Activated Tyrosine Kinase Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Collagen Activated Signaling Pathway -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Transcription and Translation Machinery, System and Developmental Process, Structural Stabilization
GO Term: Gobp Fc Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Erbb3 Signaling Pathway -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Erbb2 Erbb4 Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Chemokine C X C Motif Ligand 12 Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Oncostatin M Mediated Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Cannabinoid Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: System and Developmental Process, Transcription and Translation Machinery, DNA Repair, Immune System and Inflammation, Molecular Transport and Homeostasis
GO Term: Gobp Viral Rna Genome Replication -> Biodomain: Transcription and Translation Machinery, DNA Repair, RNA Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Locomotion -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Multicellular Organism Growth -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Multicellular Organism Growth -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Locomotion -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Epigenetic Regulation Of Gene Expression -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Cycle, Molecular Transport and Homeostasis
