Running with TEMP=0.0, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Regulation Of Translational Fidelity -> Biodomain: Translation and Transcription Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Signal Peptide Processing -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Protein Dephosphorylation -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Protein Acetylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Sulfation -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Methylation -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Protein Demethylation -> Biodomain: Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Membrane Protein Ectodomain Proteolysis -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Amino Acid Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Asparagine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Aspartate Metabolic Process -> Biodomain: Amino Acid Metabolism, Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Cysteine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Glutamine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Glycine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Glycine Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Histidine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process, Response to Stimulus
GO Term: Gobp Histidine Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Isoleucine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Lipid Metabolism, System and Developmental Process
GO Term: Gobp L Phenylalanine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Proline Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Lipid Metabolism
GO Term: Gobp L Serine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp L Serine Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp L Serine Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Threonine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Signal Transduction
GO Term: Gobp Tryptophan Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Tyrosine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Tyrosine Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Lipid Metabolism, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Modified Amino Acid Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Amino Acid Betaine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Amino Acid Betaine Biosynthetic Process -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Phosphagen Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Signal Sequence Recognition -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Response to Stimulus
