Running with TEMP=0.0, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Single Strand Break Repair -> Biodomain: DNA Repair, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Cell Cycle
GO Term: Gobp Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Very Long Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Transition Metal Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism
GO Term: Gobp Urea Cycle -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Lipid Metabolism
GO Term: Gobp Regulation Of Transcription Involved In G1 S Transition Of Mitotic Cell Cycle -> Biodomain: Transcription and Translation Machinery, Cell Cycle, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Mapk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Protein Polyubiquitination -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Spliceosomal Complex Assembly -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Nuclear Transcribed Mrna Catabolic Process Deadenylation Dependent Decay -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Nuclear Transcribed Mrna Poly A Tail Shortening -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Nuclear Transcribed Mrna Catabolic Process Exonucleolytic -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Alternative Mrna Splicing Via Spliceosome -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, System and Developmental Process
