Running with TEMP=0.0, sub_array_index=53
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 53: rows 2600 to 2649
GO Term: Gocc Phosphatidylinositol 3 Kinase Complex Class I -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Immune System and Inflammation, Response to Stimulus
GO Term: Gocc 9Plus2 Motile Cilium -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Side Of Membrane -> Biodomain: Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gocc Lumenal Side Of Endoplasmic Reticulum Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Lumenal Side Of Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gocc Protein Complex Involved In Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Response to Stimulus
GO Term: Gocc Protein Complex Involved In Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Response to Stimulus
GO Term: Gocc Network Forming Collagen Trimer -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gocc Complex Of Collagen Trimers -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gocc Basement Membrane Collagen Trimer -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gocc Dopaminergic Synapse -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus
GO Term: Gocc Postsynapse -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gocc Endoplasmic Reticulum Tubular Network Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Presynaptic Endocytic Zone -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gocc Postsynaptic Recycling Endosome -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
