Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Endocardial Cushion Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Endocardial Cushion Fusion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Apoptotic Process Involved In Heart Morphogenesis -> Biodomain: Apoptosis, System and Developmental Process, Structural Stabilization, Cell Cycle, Signal Transduction
GO Term: Gobp Wnt Signaling Pathway Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Regulation Of Wnt Signaling Pathway Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Wnt Signaling Pathway Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Epigenetic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Type B Pancreatic Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Blood Pressure By Epinephrine Norepinephrine -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Type B Pancreatic Cell Development -> Biodomain: System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Structural Stabilization, System and Developmental Process
GO Term: Gobp Keratinocyte Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Metanephros Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus
GO Term: Gobp Cilium Movement -> Biodomain: Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Cilium Movement -> Biodomain: Response to Stimulus, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
GO Term: Gobp Epithelial Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Axis Elongation -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Retinal Pigment Epithelium Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Chondrocyte Differentiation Involved In Endochondral Bone Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Growth Plate Cartilage Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Growth Plate Cartilage Chondrocyte Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Chondrocyte Development Involved In Endochondral Bone Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Disaccharide Metabolic Process -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp Aminoglycan Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Proteoglycan Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Structural Stabilization, System and Developmental Process, Response to Stimulus
GO Term: Gobp Ethanol Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Mitochondrial Function and Metabolism
GO Term: Gobp Ethanol Catabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Cellular Aldehyde Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Organic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Mitochondrial Electron Transport Nadh To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Mitochondrial Electron Transport Ubiquinol To Cytochrome C -> Biodomain: Mitochondrial Function and Metabolism, Metabolic Pathways, Cellular Respiration, Redox Reactions, Membrane Biology
GO Term: Gobp Mitochondrial Electron Transport Cytochrome C To Oxygen -> Biodomain: Mitochondrial Function and Metabolism, Energy Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Purine Ribonucleoside Salvage -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Camp Catabolic Process -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp De Novo Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Dna Replication Synthesis Of Rna Primer -> Biodomain: DNA Repair, Transcription and Translation Machinery, Cell Cycle, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Transcription Coupled Nucleotide Excision Repair -> Biodomain: DNA Repair, Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Pyrimidine Dimer Repair -> Biodomain: DNA Repair, Response to Stimulus, Cell Cycle, System and Developmental Process, Signal Transduction
GO Term: Gobp Dna Modification -> Biodomain: Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus
GO Term: Gobp Dna Methylation -> Biodomain: Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction
