Running with TEMP=0.0, sub_array_index=34
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 34: rows 1650 to 1699
GO Term: Gobp Endoplasmic Reticulum Plasma Membrane Tethering -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Telomeric D Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Structural Stabilization, System and Developmental Process
GO Term: Gobp Establishment Of Protein Localization To Plasma Membrane -> Biodomain: Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Articular Cartilage Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Small Molecule Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Small Molecule Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Stomach Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Signal Transduction, Cell Cycle, Response to Stimulus, Autophagy
GO Term: Gobp Positive Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp R Loop Processing -> Biodomain: DNA Repair, Transcription and Translation Machinery, Epigenetic Regulation, Cell Cycle, Response to Stimulus
GO Term: Gobp Protein Lipid Complex Assembly -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Proton Transporting V Type Atpase Complex Assembly -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Proton Transporting Two Sector Atpase Complex Assembly -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, System and Developmental Process
