Running with TEMP=0.0, sub_array_index=45
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 45: rows 2200 to 2249
GO Term: Gobp Response To Sodium Phosphate -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Response To L Phenylalanine Derivative -> Biodomain: Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Tubulin Deacetylation -> Biodomain: Structural Stabilization, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Response to Stimulus
GO Term: Gobp Protein Localization To Ciliary Transition Zone -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Lipophagy -> Biodomain: Autophagy, Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism
GO Term: Gobp Negative Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Negative Regulation Of Apoptotic Process Involved In Development -> Biodomain: Apoptosis, Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Apoptotic Process Involved In Development -> Biodomain: Apoptosis, System and Developmental Process, Signal Transduction, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Apoptotic Process Involved In Development -> Biodomain: Apoptosis, System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Cycle
GO Term: Gobp Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Protein Localization To Cell Cortex -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Regulation Of Protein Localization To Centrosome -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Signal Transduction, Protein Metabolism and Trafficking, Structural Stabilization
