Running with TEMP=0.0, sub_array_index=46
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 46: rows 2250 to 2299
GO Term: Gobp Positive Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: RNA Metabolism, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Amyloid Fibril Formation -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Amyloid Fibril Formation -> Biodomain: Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Regulation Of Coa Transferase Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Positive Regulation Of Coa Transferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Lipid Localization -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Lipid Localization -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Glutamatergic Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Anterograde Neuronal Dense Core Vesicle Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Response To Nerve Growth Factor -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Cellular Response To Leucine Starvation -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Neutrophil Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Cellular Response To Insulin Like Growth Factor Stimulus -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Transcription and Translation Machinery, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Brain Derived Neurotrophic Factor Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Endoplasmic Reticulum Stress -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Nucleolar Chromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, System and Developmental Process, Cell Cycle
GO Term: Gobp Cholangiocyte Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Response To Angiotensin -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Lectin -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Adaptive Thermogenesis -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Response To Chemokine -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Response To Amino Acid Starvation -> Biodomain: Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Xenobiotic Transport Across Blood Brain Barrier -> Biodomain: Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Signal Transduction, Cell Cycle, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Multicellular Organismal Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Animal Organ Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Non Canonical Wnt Signaling Pathway -> Biodomain: Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Non Canonical Wnt Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Wnt Signaling Pathway Planar Cell Polarity Pathway -> Biodomain: Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Wnt Signaling Pathway Planar Cell Polarity Pathway -> Biodomain: Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Negative Regulation Of Macrophage Apoptotic Process -> Biodomain: Immune System and Inflammation, Apoptosis, Signal Transduction, Response to Stimulus, Cell Cycle
GO Term: Gobp Regulation Of Removal Of Superoxide Radicals -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Signal Transduction, Apoptosis
GO Term: Gobp Negative Regulation Of Dendrite Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism
