Running with TEMP=0.0, sub_array_index=30
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 30: rows 1450 to 1499
GO Term: Gobp Protein Heterotetramerization -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Positive Regulation Of Lyase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Oxidoreductase Activity -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Oxidoreductase Activity -> Biodomain: Signal Transduction, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Response To Mineralocorticoid -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Neuron Apoptotic Process -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, Response to Stimulus
GO Term: Gobp Response To Nitrosative Stress -> Biodomain: Response to Stimulus, Signal Transduction, Apoptosis, Immune System and Inflammation, Mitochondrial Function and Metabolism
GO Term: Gobp Detoxification Of Nitrogen Compound -> Biodomain: Metabolic Process, Nitrogen Compound Metabolism, Biotransformation, Response to Chemical or Stress, Cellular Process
GO Term: Gobp Response To Cortisol -> Biodomain: Response to Stimulus, Lipid Metabolism, Protein Metabolism and Trafficking, Immune System and Inflammation, Transcription and Translation Machinery
GO Term: Gobp Myoblast Migration -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Intracellular Ph Elevation -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism
GO Term: Gobp Negative Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Phospholipase C Activating G Protein Coupled Signaling Pathway -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Filopodium Assembly -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Negative Regulation Of Filopodium Assembly -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Elastin Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Histone H3 K4 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Histone H3 K4 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus, Structural Stabilization
GO Term: Gobp Negative Regulation Of Neurotransmitter Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Response To Folic Acid -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, DNA Repair, Transcription and Translation Machinery
GO Term: Gobp Response To Methylmercury -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Response to Stimulus, Apoptosis, Epigenetic Regulation
GO Term: Gobp Exocyst Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Norepinephrine Uptake -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Mitochondrion Localization -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Vesicle Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Establishment Of Mitochondrion Localization -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Maintenance Of Organelle Location -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Maintenance Of Centrosome Location -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Pointed End Actin Filament Capping -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Nitric Oxide Synthase Biosynthetic Process -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Redox State -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Medium Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Positive Regulation Of Hair Follicle Development -> Biodomain: System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
