Running with TEMP=0.0, sub_array_index=41
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 41: rows 2000 to 2049
GO Term: Gobp Purine Ribonucleotide Salvage -> Biodomain: Nucleotide Metabolism, Metabolic Process, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Cardiac Muscle Myoblast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Mrna Alternative Polyadenylation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Animal Organ Morphogenesis -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Cold Induced Thermogenesis -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Cold Induced Thermogenesis -> Biodomain: Response to Stimulus, System and Developmental Process, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Cell Substrate Junction Disassembly -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Regulation Of Focal Adhesion Disassembly -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Response to Stimulus
GO Term: Gobp Mucociliary Clearance -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Olefinic Compound Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Lipid Droplet Formation -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Neuron Projection Arborization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Positive Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Presynaptic Endocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Protein Catabolic Process At Synapse -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Lipid Export From Cell -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Antiviral Innate Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Ubiquitin Dependent Protein Catabolic Process Via The C End Degron Rule Pathway -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Radial Glia Guided Pyramidal Neuron Migration -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Facultative Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Constitutive Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, System and Developmental Process, DNA Repair
