Running with TEMP=0.0, sub_array_index=61
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 61: rows 3000 to 3049
GO Term: Gomf Ap 2 Adaptor Complex Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gomf Ap 1 Adaptor Complex Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gomf Mrna 3 Utr Au Rich Region Binding -> Biodomain: RNA Metabolism, Epigenetic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Pre Mrna Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Long Chain Fatty Acyl Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Proteasome Activating Activity -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Histone H3K14 Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Neuregulin Binding -> Biodomain: Signal Transduction, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gomf Co Receptor Binding -> Biodomain: Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Histone Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gomf Chemoattractant Activity -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Sh2 Domain Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus
GO Term: Gomf Mhc Protein Binding -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Mhc Class Ii Protein Binding -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Histone Binding -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Gomf Hormone Binding -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gomf Phosphoric Ester Hydrolase Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Peptide Antigen Binding -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gomf Cd4 Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Protein Homodimerization Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Structural Stabilization, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gomf Actinin Binding -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Alpha Tubulin Binding -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gomf Gamma Tubulin Binding -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Molecular Transport and Homeostasis
GO Term: Gomf Organic Acid Binding -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Proteoglycan Binding -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Protein Kinase B Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Lipid Metabolism, Response to Stimulus
GO Term: Gomf Leucine Zipper Domain Binding -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Structural Stabilization, Epigenetic Regulation
GO Term: Gomf Inositol 1 3 4 5 Tetrakisphosphate Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Protein Serine Threonine Kinase Activator Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Cell Cycle, Epigenetic Regulation
GO Term: Gomf Insulin Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gomf Insulin Receptor Substrate Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Sequence Specific Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Cell Cycle, System and Developmental Process
GO Term: Gomf Glyceraldehyde 3 Phosphate Dehydrogenase Nadplus Non Phosphorylating Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Histone H4K5 Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Structural Stabilization, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Cell Cycle
GO Term: Gomf Histone H4K12 Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf S100 Protein Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Molecular Transport and Homeostasis
GO Term: Gomf Myosin Ii Binding -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Cxcr Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Unmethylated Cpg Binding -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Dynein Light Chain Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gomf Dynein Heavy Chain Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gomf Dynein Intermediate Chain Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Syndecan Binding -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Sphingolipid Transporter Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Natural Killer Cell Lectin Like Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Virion Binding -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Phosphatidylinositol 4 5 Bisphosphate 3 Kinase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Histone H4K16 Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gomf Histone H3K27 Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_61.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
