Running with TEMP=0.0, sub_array_index=50
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 50: rows 2450 to 2499
GO Term: Gocc Ap 2 Adaptor Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gocc Copii Coated Er To Golgi Transport Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Coated Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gocc Endocytic Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gocc Trans Golgi Network Transport Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Secretory Granule -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gocc Dynein Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gocc External Encapsulating Structure -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Junctional Membrane Complex -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Site Of Polarized Growth -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Coated Vesicle Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gocc Endocytic Vesicle Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gocc Secretory Granule Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization, Signal Transduction
GO Term: Gocc Clathrin Coated Endocytic Vesicle Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gocc Phagocytic Vesicle Membrane -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gocc Cortical Cytoskeleton -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gocc Cortical Actin Cytoskeleton -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gocc Meiotic Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, Epigenetic Regulation, DNA Repair
GO Term: Gocc Intraciliary Transport Particle B -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gocc Platelet Alpha Granule Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Immune System and Inflammation, Structural Stabilization, Response to Stimulus
GO Term: Gocc Endoplasmic Reticulum Palmitoyltransferase Complex -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gocc Leading Edge Membrane -> Biodomain: Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gocc Extrinsic Component Of Organelle Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gocc Extrinsic Component Of Endosome Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gocc Extrinsic Component Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Function and Metabolism, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gocc Box H Aca Snornp Complex -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gocc Cullin Ring Ubiquitin Ligase Complex -> Biodomain: Protein Metabolism and Trafficking, Cell Cycle, Apoptosis, Signal Transduction, System and Developmental Process
