Running with TEMP=0.0, sub_array_index=44
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 44: rows 2150 to 2199
GO Term: Gobp Negative Regulation Of Oxidative Stress Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Response To Glycoside -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Synaptic Vesicle Recycling -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Synaptic Vesicle Recycling -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Negative Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Immune System and Inflammation, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Cell Maturation -> Biodomain: System and Developmental Process, Cell Cycle, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Mucopolysaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Release Of Sequestered Calcium Ion Into Cytosol By Endoplasmic Reticulum -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Protein Localization To Photoreceptor Outer Segment -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Protein Localization To Cilium -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Protein Localization To Cilium -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Protein Tyrosine Phosphatase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
