Running with TEMP=0.0, sub_array_index=48
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 48: rows 2350 to 2399
GO Term: Gobp Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Regulation Of Cd8 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Cd8 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Cd8 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Vasculogenesis -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Vasculogenesis -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Cycle
GO Term: Gobp Negative Regulation Of Cation Channel Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Caveolin Mediated Endocytosis -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Lipoxin Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Rna Polymerase I Transcription Regulator Complex -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, RNA Metabolism, System and Developmental Process, Molecular Transport and Homeostasis
