Running with TEMP=0.0, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 800 to 849
GO Term: Gobp Negative Regulation Of Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Negative Regulation Of Ion Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Protein Modification By Small Protein Conjugation -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Apoptosis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Endocytic Recycling -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Rab Protein Signal Transduction -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Rab Protein Signal Transduction -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Cdc42 Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Immune System and Inflammation
GO Term: Gobp Regulation Of Cdc42 Protein Signal Transduction -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Bacterial Lipoprotein -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Response To Peptidoglycan -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Autophagy, Response to Stimulus
GO Term: Gobp Response To Retinoic Acid -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Regulation Of Microvillus Length -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Microvillus Assembly -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Protein Transport Into Membrane Raft -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Lipid Metabolism, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Chemokine Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Interleukin 1 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Autophagy, Epigenetic Regulation
GO Term: Gobp Interleukin 23 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Interleukin 4 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Interleukin 6 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Autophagy, System and Developmental Process
GO Term: Gobp Negative Regulation Of Chemokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Interferon Alpha Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Interferon Beta Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Type Ii Interferon Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Interleukin 1 Alpha Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Interleukin 1 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Chemokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Interferon Alpha Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Interleukin 1 Alpha Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Interleukin 1 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Interleukin 10 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Interleukin 13 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Interleukin 4 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Mast Cell Cytokine Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Monooxygenase Activity -> Biodomain: Response to Stimulus, Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Dna Templated Transcription Elongation -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Dna Templated Transcription Elongation -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Dna Templated Transcription Elongation -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Creb Transcription Factor Activity -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Receptor Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Glomerulus Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Glomerular Basement Membrane Development -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Microtubule Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Viral Transcription -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Immune System and Inflammation, Signal Transduction, System and Developmental Process
GO Term: Gobp Transforming Growth Factor Beta1 Production -> Biodomain: Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
