Running with TEMP=0.0, sub_array_index=58
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 58: rows 2850 to 2899
GO Term: Gomf Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Cycle, Response to Stimulus
GO Term: Gomf Phosphatidylinositol Phosphate Kinase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Phosphatidylinositol 3 4 5 Trisphosphate 3 Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gomf Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Mitochondrial Function and Metabolism
GO Term: Gomf C Acyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation
GO Term: Gomf N Acyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Epigenetic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gomf Trna Guanine Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis
GO Term: Gomf C Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Lipid Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gomf C Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation
GO Term: Gomf Oxidoreductase Activity -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf C C Chemokine Receptor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Protein Hormone Receptor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Immune System and Inflammation
GO Term: Gomf Nucleotide Receptor Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, RNA Metabolism, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gomf Pheromone Receptor Activity -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
GO Term: Gomf Metallochaperone Activity -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Oxidoreductase Activity Acting On Ch Oh Group Of Donors -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Oxidoreductase Activity Acting On The Aldehyde Or Oxo Group Of Donors Nad Or Nadp As Acceptor -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Oxidoreductase Activity Acting On The Aldehyde Or Oxo Group Of Donors Disulfide As Acceptor -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Oxidoreductase Activity Acting On The Ch Ch Group Of Donors Nad Or Nadp As Acceptor -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Oxidoreductase Activity Acting On The Ch Nh Group Of Donors -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Oxidoreductase Activity Acting On The Ch Nh Group Of Donors Nad Or Nadp As Acceptor -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus
GO Term: Gomf Oxidoreductase Activity Acting On Nad P H -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Lipid Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gomf Oxidoreductase Activity Acting On Nad P H Quinone Or Similar Compound As Acceptor -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Oxidoreductase Activity Acting On Other Nitrogenous Compounds As Donors -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Oxidoreductase Activity Acting On A Sulfur Group Of Donors Disulfide As Acceptor -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Oxidoreductase Activity Acting On Paired Donors With Incorporation Or Reduction Of Molecular Oxygen Reduced Pteridine As One Donor And Incorporation Of One Atom Of Oxygen -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, RNA Metabolism
GO Term: Gomf Oxidoreductase Activity Acting On Metal Ions -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gomf Oxidoreductase Activity Acting On Metal Ions Oxygen As Acceptor -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Transferase Activity Transferring One Carbon Groups -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Transferase Activity Transferring Nitrogenous Groups -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Transferase Activity Transferring Phosphorus Containing Groups -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gomf Phosphotransferase Activity Nitrogenous Group As Acceptor -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Sulfurtransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Lipid Metabolism, Response to Stimulus
GO Term: Gomf Hydrolase Activity Acting On Ester Bonds -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Phosphatase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gomf Exonuclease Activity Active With Either Ribo Or Deoxyribonucleic Acids And Producing 5 Phosphomonoesters -> Biodomain: DNA Repair, RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gomf Hydrolase Activity Acting On Carbon Nitrogen But Not Peptide Bonds -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Hydrolase Activity Acting On Carbon Nitrogen But Not Peptide Bonds In Linear Amides -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Hydrolase Activity Acting On Carbon Nitrogen But Not Peptide Bonds In Linear Amidines -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Lyase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Lipid Metabolism, Response to Stimulus
GO Term: Gomf Oxo Acid Lyase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Carbon Oxygen Lyase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gomf Hydro Lyase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gomf Carbon Nitrogen Lyase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gomf Ammonia Lyase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gomf Amidine Lyase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Lipid Metabolism
GO Term: Gomf Racemase And Epimerase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Racemase And Epimerase Activity Acting On Carbohydrates And Derivatives -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Acid Amino Acid Ligase Activity -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
