Running with TEMP=0.0, sub_array_index=63
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 63: rows 3100 to 3149
GO Term: Gomf Transmembrane Receptor Protein Serine Threonine Kinase Binding -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Leucine Binding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gomf Adenosine 3 5 Bisphosphate Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Connexin Binding -> Biodomain: Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gomf Ankyrin Repeat Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gomf Histone H3K27Me2 H3K27Me3 Demethylase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Structural Stabilization, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gomf Hmg Box Domain Binding -> Biodomain: Transcription and Translation Machinery, DNA Repair, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gomf Poly Adp D Ribose Binding -> Biodomain: DNA Repair, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Ubiquitin Protein Transferase Activator Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Autophagy, Epigenetic Regulation
GO Term: Gomf Cysteine Type Endopeptidase Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Pre Mrna Intronic Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gomf 7Sk Snrna Binding -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Molecular Transport and Homeostasis, Epigenetic Regulation, Signal Transduction
GO Term: Gomf Cyclin Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Structural Molecule Activity Conferring Elasticity -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Rna Polymerase Activity -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gomf Cell Adhesion Mediator Activity -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gomf Cell Cell Adhesion Mediator Activity -> Biodomain: Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gomf Cell Matrix Adhesion Mediator Activity -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Collagen Binding Involved In Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gomf Cadherin Binding Involved In Cell Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gomf Structural Constituent Of Postsynaptic Specialization -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gomf Structural Constituent Of Synapse -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gomf Structural Constituent Of Postsynaptic Actin Cytoskeleton -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gomf Rna Polymerase Ii C Terminal Domain Binding -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Structural Constituent Of Postsynapse -> Biodomain: Structural Stabilization, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gomf Neurotransmitter Receptor Regulator Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gomf Deubiquitinase Activity -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gomf Phosphatidylinositol 4 5 Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gomf Lncrna Binding -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gomf Protein Serine Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gomf Sulfatide Binding -> Biodomain: Lipid Metabolism, Cell Adhesion and Interaction, Gliogenesis and Glial Differentiation, Immune System and Inflammation, Molecular Transport and Homeostasis
GO Term: Gomf Modification Dependent Protein Binding -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Methylation Dependent Protein Binding -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction
GO Term: Gomf Catalytic Activity Acting On Rna -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Catalytic Activity Acting On A Trna -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Transcription Regulator Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gomf Exogenous Protein Binding -> Biodomain: Immune System and Inflammation, Response to Stimulus, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gomf Protein Sequestering Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Immune Receptor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gomf Protein Demethylase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gomf Chromatin Protein Adaptor Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Histone Reader Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Chromatin Organization and Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gomf Catalytic Activity Acting On A Nucleic Acid -> Biodomain: DNA Repair, Epigenetic Regulation, RNA Metabolism, Transcription and Translation Machinery, Signal Transduction
GO Term: Gomf Atp Dependent Chromatin Remodeler Activity -> Biodomain: Epigenetic Regulation, Mitochondrial Function and Metabolism, Transcription and Translation Machinery, Signal Transduction, Cell Cycle
GO Term: Gomf Nadplus Protein Lysine Adp Ribosyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Mitochondrial Function and Metabolism, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gomf Nadplus Protein Aspartate Adp Ribosyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Sulfur Compound Binding -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gomf Sulfur Compound Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gomf Cupric Ion Binding -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Cuprous Ion Binding -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_63.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
