Running with TEMP=0.0, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Terpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp One Carbon Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Folic Acid Containing Compound Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, DNA Repair, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Vitamin Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Fat Soluble Vitamin Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Vitamin A Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Sulfur Compound Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Copper Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Signal Transduction
GO Term: Gobp Water Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Xenobiotic Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Extracellular Transport -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Intracellular Monoatomic Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Intracellular Copper Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Intracellular Iron Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Golgi To Plasma Membrane Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Pinocytosis -> Biodomain: Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Phagocytosis Engulfment -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Inflammatory Cell Apoptotic Process -> Biodomain: Apoptosis, Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Substrate Dependent Cell Migration -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Substrate Dependent Cell Migration Cell Extension -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Muscle Contraction -> Biodomain: System and Developmental Process, Structural Stabilization, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Muscle Contraction -> Biodomain: Signal Transduction, Response to Stimulus, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Smooth Muscle Contraction -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Syncytium Formation -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Cell Cycle, Structural Stabilization, Response to Stimulus
GO Term: Gobp Defense Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Acute Phase Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Autophagy
GO Term: Gobp Complement Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
