Running with TEMP=0.0, sub_array_index=62
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 62: rows 3050 to 3099
GO Term: Gomf Testosterone Dehydrogenase Nadplus Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Metabolic Processes, Signal Transduction
GO Term: Gomf Acylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Calcium Independent Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Ccr Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gomf Ubiquinone Binding -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gomf Tau Protein Binding -> Biodomain: Structural Stabilization, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gomf Cxcr3 Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Platelet Derived Growth Factor Binding -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Cell Cycle, Molecular Transport and Homeostasis
GO Term: Gomf Tau Protein Kinase Activity -> Biodomain: Signal Transduction, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Nadp Binding -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Rs Domain Binding -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Low Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gomf Phosphoserine Residue Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Cell Adhesion Molecule Binding -> Biodomain: Cell Adhesion and Interaction, Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Extracellular Matrix Binding -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gomf Microtubule Plus End Binding -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gomf Microtubule Minus End Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gomf Muscle Alpha Actinin Binding -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gomf Alpha Actinin Binding -> Biodomain: Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gomf Nfat Protein Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf 2 Iron 2 Sulfur Cluster Binding -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf 4 Iron 4 Sulfur Cluster Binding -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, DNA Repair
GO Term: Gomf Glycolipid Binding -> Biodomain: Lipid Metabolism, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Histone H3K36 Demethylase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gomf Nadp Retinol Dehydrogenase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Phosphatidylinositol Kinase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gomf Phosphatidylinositol Bisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Phosphatidylinositol Phosphate Phosphatase Activity -> Biodomain: Signal Transduction, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gomf Lipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gomf Molecular Transducer Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
