Running with TEMP=0.0, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 100 to 149
GO Term: Gobp Trna Wobble Base Modification -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Trna Wobble Uridine Modification -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Osteoclast Proliferation -> Biodomain: Immune System and Inflammation, Cell Cycle, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Leukocyte Chemotaxis Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Response To Molecule Of Fungal Origin -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Myeloid Leukocyte Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Myeloid Cell Activation Involved In Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp T Helper Cell Lineage Commitment -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Cycle, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Mature B Cell Differentiation Involved In Immune Response -> Biodomain: Immune System and Inflammation, System and Developmental Process, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Plasma Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp B Cell Lineage Commitment -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Immature B Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Cell Cycle, Signal Transduction
GO Term: Gobp Pro B Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Mature B Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Cell Cycle, Signal Transduction
GO Term: Gobp Defense Response To Tumor Cell -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp T Cell Lineage Commitment -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Cd4 Positive Cd25 Positive Alpha Beta Regulatory T Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus
GO Term: Gobp Natural Killer Cell Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Dendritic Cell Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Myeloid Leukocyte Mediated Immunity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Antigen Processing And Presentation Of Exogenous Peptide Antigen -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Peptide Antigen Assembly With Mhc Protein Complex -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Peptide Antigen Assembly With Mhc Class Ii Protein Complex -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Hypersensitivity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Autophagy
GO Term: Gobp Acute Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Autophagy
GO Term: Gobp Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
