Running with TEMP=0.0, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 650 to 699
GO Term: Gobp Anterior Commissure Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Pituitary Gland Development -> Biodomain: System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Corpus Callosum Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Cell Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Cell Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Mammalian Oogenesis Stage -> Biodomain: System and Developmental Process, Cell Cycle, Epigenetic Regulation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Gland Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Protein Metabolism and Trafficking
GO Term: Gobp Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Cd40 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Protein Repair -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, Autophagy, Mitochondrial Function and Metabolism
