Running with TEMP=0.0, sub_array_index=40
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 40: rows 1950 to 1999
GO Term: Gobp Melanocyte Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus
GO Term: Gobp Liver Regeneration -> Biodomain: Cell Cycle, Response to Stimulus, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Motor Neuron Migration -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Synaptic Vesicle Localization -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gobp Dendrite Extension -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of Vesicle Size -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Autophagy, Mitochondrial Function and Metabolism
GO Term: Gobp Receptor Localization To Non Motile Cilium -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Stress Response To Metal Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Necroptotic Signaling Pathway -> Biodomain: Signal Transduction, Apoptosis, Immune System and Inflammation, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Myeloid Leukocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Granulocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Lamellipodium Organization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
GO Term: Gobp Calcitonin Family Receptor Signaling Pathway -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation, Immune System and Inflammation
GO Term: Gobp Double Strand Break Repair Via Classical Nonhomologous End Joining -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Calcineurin Mediated Signaling -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp De Novo Centriole Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Histone H3 K27 Trimethylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Signal Transduction, System and Developmental Process
GO Term: Gobp Observational Learning -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
