Running with TEMP=0.0, sub_array_index=43
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 43: rows 2100 to 2149
GO Term: Gobp Semaphorin Plexin Signaling Pathway Involved In Neuron Projection Guidance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Cell Cycle Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, System and Developmental Process, Signal Transduction, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Stem Cell Population Maintenance -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Protein Localization To Cell Leading Edge -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Protein Localization To Synapse -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Protein Autoubiquitination -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Intracellular Signal Transduction -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Proton Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
