Running with TEMP=0.0, sub_array_index=26
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 26: rows 1250 to 1299
GO Term: Gobp Positive Regulation Of Smooth Muscle Contraction -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Carbon Catabolite Regulation Of Transcription -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Transcription By Glucose -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Amp Metabolic Process -> Biodomain: RNA Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Camp Metabolic Process -> Biodomain: Signal Transduction, RNA Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Dtmp Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Deoxyribonucleoside Catabolic Process -> Biodomain: Molecular Transport and Homeostasis, RNA Metabolism, DNA Repair, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Purine Ribonucleoside Metabolic Process -> Biodomain: RNA Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Tetrahydrobiopterin Metabolic Process -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Pigment Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Polyol Biosynthetic Process -> Biodomain: Lipid Metabolism, Metabolism, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Polyol Catabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Aldehyde Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Phenol Containing Compound Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Fatty Acid Oxidation -> Biodomain: Lipid Metabolism, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Diacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Urate Metabolic Process -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Membrane Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Function and Metabolism, Autophagy, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Glycosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Glyoxylate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Ceramide Catabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Apoptosis, Autophagy, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Photoreceptor Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Development Of Secondary Female Sexual Characteristics -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Development Of Primary Female Sexual Characteristics -> Biodomain: System and Developmental Process, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Organ Growth -> Biodomain: System and Developmental Process, Signal Transduction, Cell Cycle, Structural Stabilization, Response to Stimulus
GO Term: Gobp Positive Regulation Of Organ Growth -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Cycle, Structural Stabilization
GO Term: Gobp Gamma Delta T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Alpha Beta T Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Cycle
GO Term: Gobp Regulation Of Gamma Delta T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Tetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Female Sex Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Male Sex Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Response To Organophosphorus -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Signal Transduction
GO Term: Gobp Response To Cadmium Ion -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Apoptosis
GO Term: Gobp Response To Copper Ion -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Response To Mercury Ion -> Biodomain: Response to Stimulus, Signal Transduction, DNA Repair, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Decidualization -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Gdp Metabolic Process -> Biodomain: RNA Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation By Virus Of Viral Protein Levels In Host Cell -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Protein Autophosphorylation -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Viral Transcription -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Microtubule Polymerization -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Regulation Of Rna Export From Nucleus -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Rna Export From Nucleus -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Carbohydrate Phosphorylation -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Phospholipid Dephosphorylation -> Biodomain: Lipid Metabolism, Membrane Biology, Enzymatic Activity, Phosphate Metabolism, Cellular Processes
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_26.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
