Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Activation Of Adenylate Cyclase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Adenylate Cyclase Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Activation Of Phospholipase C Activity -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Phospholipase C Activating G Protein Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Dopamine Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp G Protein Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Notch Receptor Processing -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Integrin Mediated Signaling Pathway -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Immune System and Inflammation, Transcription and Translation Machinery, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Ensheathment Of Neurons -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Neuromuscular Synaptic Transmission -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Sperm Axoneme Assembly -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Response to Stimulus
