Running with TEMP=0.0, sub_array_index=60
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 60: rows 2950 to 2999
GO Term: Gomf Mitogen Activated Protein Kinase Kinase Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gomf Ubiquitin Conjugating Enzyme Binding -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf G Protein Beta Subunit Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Adrenergic Receptor Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gomf Ccr1 Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gomf Ccr2 Chemokine Receptor Binding -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gomf Ccr3 Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gomf Ccr5 Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Ccr6 Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf D1 Dopamine Receptor Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Melanocortin Receptor Binding -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gomf G Protein Coupled Serotonin Receptor Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gomf Insulin Like Growth Factor I Binding -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Lipid Metabolism, Response to Stimulus
GO Term: Gomf Myosin Light Chain Binding -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gomf Clathrin Light Chain Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gomf Sumo Binding -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Sumo Polymer Binding -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gomf Mhc Class Ii Receptor Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gomf Demethylase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, RNA Metabolism, Signal Transduction
GO Term: Gomf Membrane Insertase Activity -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
