Running with TEMP=0.0, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 750 to 799
GO Term: Gobp Membrane Raft Organization -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Structural Stabilization, System and Developmental Process
GO Term: Gobp Hemidesmosome Assembly -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Cell Substrate Adhesion -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Fever Generation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Fever Generation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Nervous System Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Nervous System Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Heat Generation -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Regulation Of Heat Generation -> Biodomain: Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Positive Regulation Of Heat Generation -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Cellular Response To Extracellular Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Cellular Response To Nutrient -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Protection From Non Homologous End Joining At Telomere -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Negative Regulation Of Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Response To Corticosteroid -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Lipid Metabolism, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Fatty Acid Beta Oxidation -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Positive Regulation Of Fatty Acid Beta Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Arf Protein Signal Transduction -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Response To Cobalt Ion -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Cardiolipin Biosynthetic Process -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Ciliary Basal Body Organization -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Response To External Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, System and Developmental Process, Apoptosis
GO Term: Gobp Negative Regulation Of Response To External Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Response To Extracellular Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Transposition -> Biodomain: Transcription and Translation Machinery, DNA Repair, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Transposition Rna Mediated -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, DNA Repair, Response to Stimulus
GO Term: Gobp Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Synaptic Transmission Cholinergic -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
