Running with TEMP=0.0, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Epidermal Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Dorsal Ventral Pattern Formation -> Biodomain: System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Response To Extracellular Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Glial Cell Differentiation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Response To Inorganic Substance -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Response To Metal Ion -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Response To Iron Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Response To Manganese Ion -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Specification Of Animal Organ Identity -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Embryonic Body Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Sugar Mediated Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Response To Ozone -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Gene Expression Via Chromosomal Dna Cytosine Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Cell Cycle
GO Term: Gobp Establishment Or Maintenance Of Transmembrane Electrochemical Gradient -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
GO Term: Gobp Nadh Dehydrogenase Complex Assembly -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Response To Lead Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Negative Regulation Of Cell Fate Commitment -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Epigenetic Regulation, Signal Transduction
