Running with TEMP=0.0, sub_array_index=47
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 47: rows 2300 to 2349
GO Term: Gobp Positive Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Signal Transduction, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Signal Transduction, Mitochondrial Function and Metabolism, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Regulation Of Mesoderm Development -> Biodomain: System and Developmental Process, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Neutrophil Extravasation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Neutrophil Extravasation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Lamellipodium Morphogenesis -> Biodomain: Cell Adhesion and Interaction, Cell Cycle, Signal Transduction, Structural Stabilization, System and Developmental Process
GO Term: Gobp Positive Regulation Of Lymphocyte Migration -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of T Cell Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of T Cell Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of T Cell Extravasation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Glycogen Starch Synthase Activity -> Biodomain: Carbohydrate Metabolism, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Camp Dependent Protein Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Camp Dependent Protein Kinase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
