Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Epigenetic Regulation, Cell Cycle
GO Term: Gobp Positive Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Epigenetic Regulation, Cell Cycle
GO Term: Gobp Negative Regulation Of Adaptive Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Autophagy
GO Term: Gobp Regulation Of T Helper 1 Type Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Autophagy, System and Developmental Process
GO Term: Gobp Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Autophagy
GO Term: Gobp Regulation Of Hypersensitivity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Hypersensitivity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Humoral Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Humoral Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Heart Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Muscle System Process -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Circulatory System Process -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Renal System Process -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Vascular Process In Circulatory System -> Biodomain: System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Systemic Arterial Blood Pressure Mediated By A Chemical Signal -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp Regulation Of Heart Rate By Chemical Signal -> Biodomain: Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Renal Control Of Peripheral Vascular Resistance Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Systemic Arterial Blood Pressure By Renin Angiotensin -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Glomerular Filtration -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Renal Water Transport -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism
GO Term: Gobp Heart Field Specification -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Secondary Heart Field Specification -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Embryonic Heart Tube Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Outflow Tract Septum Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Outflow Tract Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Regulation Of Animal Organ Formation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Endothelium Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Morphogenesis Of An Endothelium -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Pulmonary Valve Development -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Aortic Valve Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Pulmonary Valve Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
