Running with TEMP=0.0, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 600 to 649
GO Term: Gobp Histone Demethylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, DNA Repair, Response to Stimulus
GO Term: Gobp Histone Deubiquitination -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Desumoylation -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Poly A Plus Mrna Export From Nucleus -> Biodomain: Molecular Transport and Homeostasis, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Protein Import -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Plasma Membrane Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Apoptosis, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Peptidyl Lysine Methylation -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Peptidyl Lysine Trimethylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction
GO Term: Gobp Peptidyl Lysine Dimethylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Peptide Cross Linking -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Peptidyl Amino Acid Modification -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Peptidyl Lysine Modification -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Peptidyl Threonine Modification -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Peptidyl Tyrosine Modification -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Peptidyl L Cysteine S Palmitoylation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Protein N Linked Glycosylation Via Asparagine -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Peptidyl Lysine Acetylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Ether Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Phenol Containing Compound Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Viral Transcription -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, RNA Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Reproductive Behavior -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Vasoconstriction -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Response To Pheromone -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Fucose Catabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Cyclooxygenase Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Galactolipid Metabolic Process -> Biodomain: Lipid Metabolism, Metabolism, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Galactolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Alditol Metabolic Process -> Biodomain: Lipid Metabolism, System and Developmental Process, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Urea Metabolic Process -> Biodomain: System and Developmental Process, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Antifungal Humoral Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Nitrogen Utilization -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Secondary Metabolic Process -> Biodomain: Response to Stimulus, System and Developmental Process, Lipid Metabolism, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Peptide Cross Linking Via Chondroitin 4 Sulfate Glycosaminoglycan -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Lipid Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Charged Trna Amino Acid Modification -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Spinal Cord Motor Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Somatic Motor Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Cell Proliferation In Hindbrain -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Structural Stabilization, Signal Transduction
GO Term: Gobp Diencephalon Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Rhombomere Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Amygdala Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Structural Stabilization, Signal Transduction
GO Term: Gobp Glial Cell Development -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Branchiomotor Neuron Axon Guidance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Thalamus Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Hypothalamus Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Forebrain Neuron Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Cerebral Cortex Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Cell Cycle, Signal Transduction
GO Term: Gobp Hindbrain Tangential Cell Migration -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_13.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
