Running with TEMP=0.0, sub_array_index=38
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 38: rows 1850 to 1899
GO Term: Gobp Monocarboxylic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Sulfur Compound Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Circulatory System Development -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction, Immune System and Inflammation
GO Term: Gobp Organelle Transport Along Microtubule -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gobp Plus End Directed Organelle Transport Along Microtubule -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gobp Microtubule Anchoring At Microtubule Organizing Center -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Mesenchymal Stem Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Embryonic Skeletal Joint Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Purine Containing Compound Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Fibroblast Activation -> Biodomain: Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp T Helper 17 Cell Lineage Commitment -> Biodomain: Immune System and Inflammation, System and Developmental Process, Epigenetic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Terminal Button Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Chemokine C X C Motif Ligand 2 Production -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Clathrin Dependent Endocytosis -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Reactive Oxygen Species Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, DNA Repair, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Lamellipodium Morphogenesis -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Lymphocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp T Cell Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Thymocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp T Cell Extravasation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Sorbitol -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Cellular Response To Sorbitol -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Response To Actinomycin D -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Apoptosis, Autophagy, Signal Transduction
GO Term: Gobp Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Immune System and Inflammation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Histone H3 K4 Trimethylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
