Running with TEMP=0.0, sub_array_index=59
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 59: rows 2900 to 2949
GO Term: Gomf Endonuclease Activity Active With Either Ribo Or Deoxyribonucleic Acids And Producing 5 Phosphomonoesters -> Biodomain: DNA Repair, RNA Metabolism, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gomf Rna Exonuclease Activity Producing 5 Phosphomonoesters -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Oxidoreductase Activity Acting On The Aldehyde Or Oxo Group Of Donors -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Retinal Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Desumoylase Activity -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gomf Map Kinase Tyrosine Serine Threonine Phosphatase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gomf Myosin Phosphatase Activity -> Biodomain: Signal Transduction, Structural Stabilization, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Myosin Binding -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gomf Syntaxin 1 Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf 4 Galactosyl N Acetylglucosaminide 3 Alpha L Fucosyltransferase Activity -> Biodomain: Glycobiology and Glycosylation, Nucleotide and Sugar Metabolism, Membrane and Cell Surface Processes, Cell Adhesion and Interaction, Protein Metabolism and Trafficking
GO Term: Gomf Sh3 Domain Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gomf Aryl Hydrocarbon Receptor Binding -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, Immune System and Inflammation, Epigenetic Regulation
GO Term: Gomf Vinculin Binding -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Cell Cycle, Response to Stimulus
GO Term: Gomf Serine Hydrolase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Lipid Metabolism
GO Term: Gomf Histone Lysine N Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process
GO Term: Gomf 3 Hydroxyacyl Coa Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Deoxynucleoside Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gomf Transmembrane Receptor Protein Kinase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Immune System and Inflammation, Cell Adhesion and Interaction
GO Term: Gomf Kinase Inhibitor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Cell Cycle, Apoptosis
GO Term: Gomf Deacetylase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gomf Intermediate Filament Binding -> Biodomain: Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Ubiquitin Like Protein Peptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Autophagy, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Deneddylase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Ubiquitin Like Protein Transferase Activity -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gomf Sumo Transferase Activity -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, DNA Repair, Signal Transduction, Response to Stimulus
GO Term: Gomf Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Growth Factor Binding -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gomf Retinol Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gomf Vitamin Binding -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Structural Constituent Of Myelin Sheath -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Structural Stabilization, Lipid Metabolism, Neurotransmission and Synaptic Regulation
GO Term: Gomf Cytokine Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf C C Chemokine Binding -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf C X3 C Chemokine Binding -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Glutamate Gated Calcium Ion Channel Activity -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Mhc Protein Complex Binding -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Mhc Class Ii Protein Complex Binding -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Signaling Receptor Complex Adaptor Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Lrr Domain Binding -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Testosterone Dehydrogenase Nad P Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Protein Phosphatase 2B Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Immune System and Inflammation, Response to Stimulus, System and Developmental Process
GO Term: Gomf Nuclear Receptor Coactivator Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Ankyrin Binding -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gomf Structural Constituent Of Chromatin -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Gomf Signaling Receptor Regulator Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Beta 2 Microglobulin Binding -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gomf Mitochondrion Targeting Sequence Binding -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gomf Receptor Tyrosine Kinase Binding -> Biodomain: Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, Apoptosis, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_59.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
