Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Histone H2A K63 Linked Deubiquitination -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Response To Interleukin 2 -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Cell Cycle, Response to Stimulus
GO Term: Gobp Phosphorylation Of Rna Polymerase Ii C Terminal Domain -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, RNA Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Localization To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Dna Conformation Change -> Biodomain: DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, Response to Stimulus
GO Term: Gobp Resolution Of Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Ribonucleoprotein Complex Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, RNA Metabolism, System and Developmental Process
GO Term: Gobp Cellular Response To Electrical Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cellular Response To Lithium Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Cellular Response To Cgmp -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Steroid Hormone Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Estradiol Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation, Lipid Metabolism
GO Term: Gobp Cellular Response To Testosterone Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Histone H3 K14 Acetylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Protein Localization To Chromosome Centromeric Region -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, DNA Repair
GO Term: Gobp Cellular Response To Acidic Ph -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization
