Running with TEMP=0.0, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation, DNA Repair
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Response To Interleukin 7 -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gobp Regulation Of Renal System Process -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Vesicle Mediated Transport Between Endosomal Compartments -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Autophagy
GO Term: Gobp Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Localization To Axon -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Dendrite Arborization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Integrated Stress Response Signaling -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Amyloid Beta Clearance By Transcytosis -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Dna Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
