Running with TEMP=0.9, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization
GO Term: Gobp Amyloid Beta Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus
GO Term: Gobp Negative Regulation Of Defense Response To Virus -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Phagocytosis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Autophagy
GO Term: Gobp Protein Stabilization -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp White Fat Cell Differentiation -> Biodomain: System and Developmental Process, Transcription and Translation Machinery, Lipid Metabolism, Cell Cycle, Signal Transduction
GO Term: Gobp Leukocyte Tethering Or Rolling -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Microtubule Severing -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Chaperone Cofactor Dependent Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Hepoxilin Metabolic Process -> Biodomain: Lipid Metabolism, Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Chaperone Mediated Protein Complex Assembly -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Nk T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Protein Insertion Into Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gobp Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, DNA Repair, Signal Transduction
GO Term: Gobp Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, System and Developmental Process
