Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Homologous Recombination -> Biodomain: DNA Repair, Transcription and Translation Machinery, Signal Transduction, Cell Cycle, Molecular Transport and Homeostasis
GO Term: Gobp Nail Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Ascending Aorta Development -> Biodomain: System and Developmental Process, Signal Transduction, Cell Cycle, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Dorsal Aorta Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Aorta Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Dorsal Aorta Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Skeletal Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Transcription and Translation Machinery, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Response To Topologically Incorrect Protein -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Signal Transduction
GO Term: Gobp Alpha Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Rna Guanine N7 Methylation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Interstrand Cross Link Repair -> Biodomain: DNA Repair, Response to Stimulus, Cell Cycle, Signal Transduction, System and Developmental Process
GO Term: Gobp Sodium Ion Export Across Plasma Membrane -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization, System and Developmental Process, Response to Stimulus
GO Term: Gobp Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Growth -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Snrna Modification -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Epithelial Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Regulation Of Catecholamine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Ribosome Biogenesis -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Ribosomal Small Subunit Biogenesis -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Dopamine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Middle Ear Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Activation Of Janus Kinase Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Negative Regulation Of I Kappab Kinase Nf Kappab Signaling -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Apoptosis, System and Developmental Process
GO Term: Gobp Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Natural Killer Cell Degranulation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction
