Running with TEMP=0.5, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Eif2 Alpha Phosphorylation -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Dna Primase Activity -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, System and Developmental Process, Signal Transduction, Cell Cycle, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Retrograde Protein Transport Er To Cytosol -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Immune System and Inflammation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Autophagy Of Mitochondrion In Response To Mitochondrial Depolarization -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Positive Regulation Of Rna Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, RNA Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Cell Cycle
GO Term: Gobp Positive Regulation Of Membrane Permeability -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Signal Transduction, Epigenetic Regulation, Structural Stabilization, System and Developmental Process
GO Term: Gobp Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
