Running with TEMP=0.0, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Maturation Of Ssu Rrna From Tricistronic Rrna Transcript Ssu Rrna 5 8S Rrna Lsu Rrna -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Recombinational Repair -> Biodomain: DNA Repair, Cell Cycle, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Double Strand Break Repair Via Break Induced Replication -> Biodomain: DNA Repair, Transcription and Translation Machinery, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Fatty Acid Alpha Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Natural Killer Cell Proliferation -> Biodomain: Immune System and Inflammation, Cell Cycle, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Receptor Recycling -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Blood Vessel Maturation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of L Glutamate Import Across Plasma Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune System and Inflammation, DNA Repair, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Leukocyte Migration -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of T Helper 1 Type Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Autophagy
GO Term: Gobp Regulation Of Hypersensitivity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Structural Stabilization
GO Term: Gobp Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Heart Valve Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Atrioventricular Valve Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Cardiac Left Ventricle Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Endocardial Cushion Fusion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Noradrenergic Neuron Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Cell Cycle
GO Term: Gobp Succinyl Coa Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Mitochondrial Electron Transport Succinate To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Signal Transduction
GO Term: Gobp Dna Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gobp Dna Unwinding Involved In Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Structural Stabilization, Protein Metabolism and Trafficking
