Running with TEMP=0.1, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Signal Sequence Recognition -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Post Translational Protein Targeting To Endoplasmic Reticulum Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Protein Retention In Er Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Response to Stimulus
GO Term: Gobp Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gobp Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Prostanoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cholesterol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Copper Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Mitochondrial Transport -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Intracellular Iron Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Intracellular Sodium Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Endoplasmic Reticulum To Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Retrograde Vesicle Mediated Transport Golgi To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Intra Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Autophagy
GO Term: Gobp Vesicle Budding From Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Signal Transduction
GO Term: Gobp Vesicle Coating -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Phagocytosis Recognition -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Osmotic Stress -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Er Nucleus Signaling Pathway -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Nitrogen Starvation -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Nucleolus Organization -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Endoplasmic Reticulum Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism, Mitochondrial Function and Metabolism, Structural Stabilization
GO Term: Gobp Endosome Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Protein Metabolism and Trafficking, System and Developmental Process, Signal Transduction
GO Term: Gobp Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, DNA Repair, Epigenetic Regulation
GO Term: Gobp Female Meiosis I -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Epigenetic Regulation, Structural Stabilization
GO Term: Gobp Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Jnk Cascade -> Biodomain: Signal Transduction, Apoptosis, Immune System and Inflammation, Response to Stimulus, Cell Cycle
GO Term: Gobp Ectoderm Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Adult Heart Development -> Biodomain: System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Mesodermal Cell Migration -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Isoprenoid Catabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Cell Cycle, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Response To Temperature Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Response To Heat -> Biodomain: Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Anterior Posterior Axis Specification -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Epigenetic Regulation, Structural Stabilization
GO Term: Gobp Negative Regulation Of Gene Expression Via Chromosomal Dna Cytosine Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Response To Acidic Ph -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Gastrulation -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Autophagy
GO Term: Gobp Positive Regulation Of Autophagy -> Biodomain: Autophagy, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.1/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.1/runtime_log.csv
