Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Protein Metabolism and Trafficking
GO Term: Gobp Histone H2A K63 Linked Deubiquitination -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Structural Stabilization
GO Term: Gobp Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Response To Interleukin 2 -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Phosphorylation Of Rna Polymerase Ii C Terminal Domain -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, RNA Metabolism
GO Term: Gobp Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Localization To Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Dna Conformation Change -> Biodomain: DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Cell Cycle, Molecular Transport and Homeostasis
GO Term: Gobp Resolution Of Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Ribonucleoprotein Complex Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, RNA Metabolism, Transcription and Translation Machinery
GO Term: Gobp Cellular Response To Electrical Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Lithium Ion -> Biodomain: Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Cgmp -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Steroid Hormone Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Estradiol Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Testosterone Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Cell Cycle, System and Developmental Process
GO Term: Gobp Regulation Of Histone H3 K14 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Protein Localization To Chromosome Centromeric Region -> Biodomain: Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Cellular Response To Acidic Ph -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Cellular Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Protein Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process, Signal Transduction
GO Term: Gobp Tail Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Negative Regulation Of Protein Serine Threonine Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Maintenance Of Protein Localization In Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Structural Stabilization
GO Term: Gobp Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism
GO Term: Gobp Maintenance Of Protein Location In Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp T Cell Extravasation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Protein K6 Linked Ubiquitination -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Endothelin Receptor Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Protein Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Copii Coated Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp C 5 Methylation Of Cytosine -> Biodomain: Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Establishment Of Epithelial Cell Polarity -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
