Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Negative Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Eif2 Alpha Phosphorylation -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Dna Primase Activity -> Biodomain: Transcription and Translation Machinery, DNA Repair, Cell Cycle, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Signal Transduction, System and Developmental Process, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Regulation Of Retrograde Protein Transport Er To Cytosol -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Immune System and Inflammation, Transcription and Translation Machinery, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Autophagy Of Mitochondrion In Response To Mitochondrial Depolarization -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Rna Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, RNA Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Membrane Permeability -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic Regulation, System and Developmental Process, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gobp Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
