Running with TEMP=0.5, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Protein Transmembrane Import Into Intracellular Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism
GO Term: Gobp Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, System and Developmental Process, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Modulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Modulation By Host Of Viral Genome Replication -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Modulation By Host Of Viral Rna Genome Replication -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, RNA Metabolism
GO Term: Gobp Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Lipoprotein Localization -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Dna Templated Dna Replication Maintenance Of Fidelity -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Glycerolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Protein Insertion Into Er Membrane By Stop Transfer Membrane Anchor Sequence -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Positive Thymic T Cell Selection -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Apoptosis, Response to Stimulus
GO Term: Gobp Integrin Biosynthetic Process -> Biodomain: Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Structural Stabilization, Transcription and Translation Machinery
