Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Gliogenesis and Glial Differentiation, Response to Stimulus
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization
GO Term: Gobp Amyloid Beta Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Negative Regulation Of Defense Response To Virus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Negative Regulation Of Phagocytosis -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Stabilization -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp White Fat Cell Differentiation -> Biodomain: System and Developmental Process, Transcription and Translation Machinery, Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Leukocyte Tethering Or Rolling -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Microtubule Severing -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, System and Developmental Process, Response to Stimulus
GO Term: Gobp Chaperone Cofactor Dependent Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Autophagy
GO Term: Gobp Hepoxilin Metabolic Process -> Biodomain: Lipid Metabolism, Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Chaperone Mediated Protein Complex Assembly -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Nk T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Protein Insertion Into Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Kinetochore Assembly -> Biodomain: Cell Cycle, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Histone H3 K9 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Norepinephrine Uptake -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Delipidation -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Response To Misfolded Protein -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Autophagy, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Catecholamine Uptake Involved In Synaptic Transmission -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Glutamate Reuptake -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Gliogenesis and Glial Differentiation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Asymmetric Neuroblast Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, Signal Transduction, Structural Stabilization
GO Term: Gobp Sodium Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Bergmann Glial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Glial Cell Proliferation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Signal Transduction
GO Term: Gobp Regulation Of Respiratory Burst -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Cardiac Epithelial To Mesenchymal Transition -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic Regulation, DNA Repair, System and Developmental Process, Structural Stabilization
GO Term: Gobp Placenta Blood Vessel Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Labyrinthine Layer Blood Vessel Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Blood Vessel Endothelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Arterial Endothelial Cell Differentiation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Establishment Of Blood Brain Barrier -> Biodomain: Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Chaperone Mediated Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Cell Cycle
GO Term: Gobp Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Notch Signaling Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Chaperone Mediated Autophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Selective Autophagy -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Process Utilizing Autophagic Mechanism -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp Meiosis I Cell Cycle Process -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Intracellular Protein Transmembrane Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Structural Stabilization, System and Developmental Process
GO Term: Gobp Regulation Of Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Apoptosis, Immune System and Inflammation
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.1/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.1/runtime_log.csv
