node,nodeID,root node,root node ID,biodomain_1,biodomain_2,biodomain_3,biodomain_4,biodomain_5
GOMF_CORECEPTOR_ACTIVITY_INVOLVED_IN_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY,,,,Signal Transduction,System and Developmental Process,Cell Adhesion and Interaction,Neurodevelopment and Neuronal Differentiation,Response to Stimulus
GOMF_RETROMER_COMPLEX_BINDING,GO:1905394,molecular_function,GO:0003674,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,System and Developmental Process,Response to Stimulus
GOMF_HISTONE_METHYLTRANSFERASE_BINDING,GO:1990226,molecular_function,GO:0003674,Epigenetic Regulation,Transcription and Translation Machinery,Protein Metabolism and Trafficking,Signal Transduction,System and Developmental Process
GOMF_N6_METHYLADENOSINE_CONTAINING_RNA_BINDING,,,,RNA Metabolism,Epigenetic Regulation,Transcription and Translation Machinery,Molecular Transport and Homeostasis,System and Developmental Process
GOMF_ARRESTIN_FAMILY_PROTEIN_BINDING,GO:1990763,molecular_function,GO:0003674,Signal Transduction,Response to Stimulus,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics
GOMF_PROTEIN_TYROSINE_KINASE_BINDING,GO:1990782,molecular_function,GO:0003674,Signal Transduction,Protein Metabolism and Trafficking,Cell Adhesion and Interaction,Immune System and Inflammation,Response to Stimulus
GOBP_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS,GO:0010713,,,Response to Stimulus,Structural Stabilization,Signal Transduction,Protein Metabolism and Trafficking,System and Developmental Process
GOBP_NEGATIVE_REGULATION_OF_HYDROGEN_PEROXIDE_METABOLIC_PROCESS,GO:0010727,biological_process,GO:0008150,Response to Stimulus,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,Signal Transduction,Lipid Metabolism
GOBP_PROTEIN_KINASE_A_SIGNALING,GO:0010737,biological_process,GO:0008150,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,Epigenetic Regulation,Transcription and Translation Machinery
GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,,,,Immune System and Inflammation,Lipid Metabolism,Cell Adhesion and Interaction,Response to Stimulus,System and Developmental Process
