node,nodeID,root node,root node ID,biodomain
GOBP_MEMBRANE_RAFT_ORGANIZATION,GO:0031579,biological_process,GO:0008150,"Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Structural Stabilization, System and Developmental Process"
GOBP_HEMIDESMOSOME_ASSEMBLY,GO:0031581,biological_process,GO:0008150,"Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process"
GOBP_CELL_SUBSTRATE_ADHESION,GO:0031589,biological_process,GO:0008150,"Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction"
GOBP_REGULATION_OF_FEVER_GENERATION,GO:0031620,biological_process,GO:0008150,"Immune System and Inflammation, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction"
GOBP_POSITIVE_REGULATION_OF_FEVER_GENERATION,GO:0031622,biological_process,GO:0008150,"Immune System and Inflammation, System and Developmental Process, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis"
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS,GO:0031645,biological_process,GO:0008150,"Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, System and Developmental Process"
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS,GO:0031646,,,"Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, System and Developmental Process"
GOBP_HEAT_GENERATION,GO:0031649,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process, Signal Transduction"
GOBP_REGULATION_OF_HEAT_GENERATION,GO:0031650,,,"Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction"
GOBP_POSITIVE_REGULATION_OF_HEAT_GENERATION,GO:0031652,biological_process,GO:0008150,"Mitochondrial Function and Metabolism, Lipid Metabolism, Response to Stimulus, Signal Transduction, System and Developmental Process"
GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS,,,,"Response to Stimulus, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Cell Adhesion and Interaction"
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT,GO:0031670,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism"
GOBP_PROTECTION_FROM_NON_HOMOLOGOUS_END_JOINING_AT_TELOMERE,GO:0031848,biological_process,GO:0008150,"DNA Repair, Cell Cycle, Epigenetic Regulation, Mitochondrial Function and Metabolism, Response to Stimulus"
GOBP_NEGATIVE_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS,GO:0031944,,,"Lipid Metabolism, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis"
GOBP_RESPONSE_TO_CORTICOSTEROID,GO:0031960,biological_process,GO:0008150,"Response to Stimulus, Immune System and Inflammation, Signal Transduction, Lipid Metabolism, Transcription and Translation Machinery"
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION,GO:0031999,biological_process,GO:0008150,"Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus"
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION,GO:0032000,biological_process,GO:0008150,"Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus"
GOBP_ARF_PROTEIN_SIGNAL_TRANSDUCTION,GO:0032011,biological_process,GO:0008150,"Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus"
GOBP_RESPONSE_TO_COBALT_ION,GO:0032025,biological_process,GO:0008150,"Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process"
GOBP_CARDIOLIPIN_BIOSYNTHETIC_PROCESS,,,,"Mitochondrial Function and Metabolism, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process"
GOBP_CILIARY_BASAL_BODY_ORGANIZATION,GO:0032053,biological_process,GO:0008150,"Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus"
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,GO:0032101,,,"Response to Stimulus, Signal Transduction, Immune System and Inflammation, System and Developmental Process, Apoptosis"
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,GO:0032102,,,"Response to Stimulus, Signal Transduction, Immune System and Inflammation, System and Developmental Process, Molecular Transport and Homeostasis"
GOBP_REGULATION_OF_RESPONSE_TO_EXTRACELLULAR_STIMULUS,,,,"Response to Stimulus, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, System and Developmental Process"
GOBP_TRANSPOSITION,GO:0032196,biological_process,GO:0008150,"Transcription and Translation Machinery, DNA Repair, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus"
GOBP_TRANSPOSITION_RNA_MEDIATED,,,,"RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, DNA Repair, Response to Stimulus"
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE,GO:0032204,biological_process,GO:0008150,"DNA Repair, Cell Cycle, Epigenetic Regulation, Signal Transduction, System and Developmental Process"
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,GO:0032206,biological_process,GO:0008150,"DNA Repair, Epigenetic Regulation, Cell Cycle, Signal Transduction, System and Developmental Process"
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_CHOLINERGIC,GO:0032222,,,"Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis"
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_CHOLINERGIC,GO:0032224,biological_process,GO:0008150,"Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, System and Developmental Process"
GOBP_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,GO:0032239,,,"Molecular Transport and Homeostasis, RNA Metabolism, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus"
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,GO:0032241,,,"Molecular Transport and Homeostasis, Transcription and Translation Machinery, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus"
GOBP_SECRETORY_GRANULE_LOCALIZATION,GO:0032252,biological_process,GO:0008150,"Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process"
GOBP_DENSE_CORE_GRANULE_LOCALIZATION,,,,"Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus"
GOBP_METHYLATION,GO:0032259,biological_process,GO:0008150,"Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis"
GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION,GO:0032271,,,"Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus"
GOBP_NEGATIVE_REGULATION_OF_GONADOTROPIN_SECRETION,GO:0032277,biological_process,GO:0008150,"Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation"
GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,GO:0032289,biological_process,GO:0008150,"Gliogenesis and Glial Differentiation, Structural Stabilization, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction"
GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION,GO:0032330,biological_process,GO:0008150,"System and Developmental Process, Structural Stabilization, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction"
GOBP_NEGATIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION,GO:0032331,biological_process,GO:0008150,"System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Cycle, Neurodevelopment and Neuronal Differentiation"
GOBP_POSITIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION,GO:0032332,biological_process,GO:0008150,"System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus, Structural Stabilization"
GOBP_REGULATION_OF_ALDOSTERONE_METABOLIC_PROCESS,GO:0032344,,,"Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Lipid Metabolism"
GOBP_REGULATION_OF_HORMONE_METABOLIC_PROCESS,GO:0032350,biological_process,GO:0008150,"Lipid Metabolism, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus"
GOBP_POSITIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS,GO:0032352,,,"Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Epigenetic Regulation"
GOBP_RESPONSE_TO_FOLLICLE_STIMULATING_HORMONE,GO:0032354,biological_process,GO:0008150,"Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process"
